,ARSON,BURGLARY,COUNTY,FAMILY,GANG,INSTITUTIONAL,MULT_VICTIMS,RAPE,ROBBERY,SNIPER,YEAR
215,0,8,23,16,0,0,6,0,6,0,2010
216,0,1,23,19,3,0,10,0,6,0,2009
217,1,4,23,14,0,0,21,0,5,0,2008
218,1,0,23,12,0,0,18,0,4,0,2007
219,0,2,23,17,0,0,15,1,8,0,2006
220,0,0,24,10,1,4,16,0,4,0,2015
221,0,1,24,10,5,0,13,0,1,0,2014
222,0,1,24,13,4,0,15,1,6,0,2013
223,0,0,24,13,2,0,7,0,4,0,2012
224,0,1,24,21,0,0,18,0,4,0,2011
225,1,2,24,16,0,0,8,0,2,0,2010
226,0,0,24,6,5,0,12,0,5,0,2009
227,0,0,24,8,0,0,11,0,0,0,2008
228,1,0,24,11,0,1,7,0,8,0,2007
229,2,4,24,13,0,0,12,1,3,0,2006
230,0,0,26,17,1,0,21,0,12,0,2015
231,0,0,26,20,1,2,24,0,6,0,2014
232,1,0,26,13,2,0,18,0,9,0,2013
233,0,0,26,18,1,0,17,1,8,0,2012
234,0,0,26,14,5,0,32,0,9,0,2011
235,0,9,26,25,1,0,13,1,19,0,2010
236,0,2,26,20,1,0,20,0,7,0,2009
237,0,0,26,18,0,0,25,0,31,0,2008
238,0,0,26,25,1,0,10,0,7,0,2007
239,0,2,26,20,1,0,22,1,12,0,2006
240,0,0,28,13,17,0,18,1,24,0,2015
241,1,0,28,17,0,0,18,1,7,0,2014
242,1,0,28,20,0,0,16,2,15,0,2013
243,1,0,28,11,10,0,13,0,8,0,2012
244,1,0,28,16,10,0,9,0,17,0,2011
245,0,3,28,20,6,0,12,0,15,0,2010
246,0,4,28,21,5,0,10,0,18,0,2009
247,1,0,28,10,0,0,12,0,8,0,2008
248,0,1,28,16,0,0,7,0,15,0,2007
249,0,3,28,11,0,0,7,0,9,0,2006
250,0,0,29,5,4,0,6,0,6,0,2015
251,0,0,29,11,0,0,2,1,1,0,2014
252,0,1,29,4,0,0,20,0,5,0,2013
253,0,0,29,6,0,0,13,0,10,0,2012
254,0,0,29,5,0,0,6,0,9,0,2011
255,0,1,29,7,0,0,3,4,1,0,2010
256,0,0,29,7,0,0,13,0,5,0,2009
257,0,6,29,10,2,0,6,1,1,0,2008
258,0,0,29,10,0,0,9,0,1,0,2007
259,0,0,29,5,0,0,2,0,3,0,2006
260,0,0,32,19,3,0,5,1,11,0,2015
261,0,2,32,12,2,0,5,2,1,0,2014
262,0,1,32,20,3,0,6,0,2,0,2013
263,0,0,32,11,3,0,10,0,1,0,2012
264,0,0,32,12,2,0,11,0,11,0,2011
265,0,0,32,14,0,1,10,0,4,0,2010
266,0,0,32,17,5,0,5,0,2,0,2009
267,0,1,32,17,2,0,9,0,5,0,2008
268,2,0,32,8,0,2,7,0,6,0,2007
269,0,0,32,12,6,0,6,0,8,0,2006
270,0,5,34,25,0,1,15,0,15,0,2015
271,2,0,34,29,0,1,11,0,30,0,2014
272,2,5,34,21,1,0,19,0,15,0,2013
273,1,0,34,19,2,0,14,0,11,0,2012
274,0,0,34,24,0,1,16,1,13,0,2011
275,0,1,34,18,1,0,21,0,26,0,2010
276,0,2,34,26,2,1,17,0,15,0,2009
277,0,2,34,15,0,1,27,0,10,0,2008
278,1,0,34,26,1,0,22,3,5,0,2007
279,0,0,34,22,0,0,11,1,30,0,2006
280,0,2,35,11,0,0,0,0,5,0,2015
281,0,2,35,4,0,0,7,0,1,0,2014
282,0,0,35,7,0,0,5,0,0,0,2013
283,0,1,35,10,0,0,5,0,4,0,2012
284,0,0,35,8,0,0,3,0,1,0,2011
285,0,0,35,9,0,0,6,3,8,0,2010
286,0,0,35,9,3,0,6,0,0,0,2009
287,0,1,35,11,0,0,8,0,3,0,2008
288,0,0,35,4,0,0,8,0,4,0,2007
289,0,0,35,4,2,0,6,0,2,0,2006
290,0,0,36,32,5,3,53,0,30,0,2015
291,0,5,36,32,0,0,33,1,19,0,2014
292,1,1,36,31,1,0,34,0,17,1,2013
293,0,2,36,27,0,0,43,1,24,0,2012
294,1,2,36,42,7,0,40,3,27,0,2011
295,1,2,36,25,4,1,43,2,29,0,2010
296,0,0,36,43,1,0,39,0,32,0,2009
297,0,6,36,32,4,0,17,0,20,0,2008
298,0,0,36,32,0,0,34,3,34,0,2007
299,1,0,36,27,1,1,30,0,24,1,2006
300,3,6,42,16,0,0,13,0,0,0,2015
301,1,0,42,7,0,0,15,0,0,0,2014
302,0,0,42,3,0,0,1,0,4,0,2013
303,0,0,42,13,0,0,6,0,3,0,2012
304,0,0,42,10,0,0,4,0,10,0,2011
305,0,0,42,10,1,0,4,0,3,0,2010
306,0,1,42,9,0,0,20,0,0,0,2009
307,0,1,42,13,0,0,4,0,3,0,2008
308,0,0,42,14,1,0,3,0,5,0,2007
309,0,2,42,6,0,0,2,0,3,0,2006
310,0,0,43,21,0,3,4,0,16,0,2015
311,0,0,43,9,0,0,4,0,0,0,2014
312,1,0,43,22,0,0,10,0,2,0,2013
313,0,0,43,14,0,0,6,0,4,0,2012
314,0,0,43,14,0,0,11,0,5,0,2011
315,0,0,43,11,0,0,13,0,2,0,2010
316,1,0,43,9,0,0,13,0,4,0,2009
317,0,4,43,11,0,4,8,0,5,0,2008
318,0,0,43,11,0,0,13,0,5,0,2007
319,0,0,43,19,0,1,6,1,6,0,2006
320,0,0,44,13,0,0,5,0,20,0,2015
321,0,2,44,11,0,0,15,0,24,0,2014
322,0,1,44,13,0,0,9,1,24,0,2013
323,0,0,44,12,7,0,7,0,19,0,2012
324,0,1,44,17,5,0,11,0,35,0,2011
325,0,0,44,19,0,0,13,0,36,0,2010
326,0,1,44,13,0,0,8,1,21,0,2009
327,0,1,44,13,12,0,11,0,50,0,2008
328,0,0,44,16,2,0,9,0,20,0,2007
329,0,1,44,12,2,0,5,0,37,0,2006
330,0,0,46,5,0,0,13,0,6,0,2015
331,0,0,46,18,0,0,16,0,8,0,2014
332,0,0,46,14,1,0,10,0,9,0,2013
333,0,0,46,17,0,0,6,0,8,0,2012
334,0,0,46,14,0,0,8,0,7,0,2011
335,0,1,46,12,0,3,3,0,7,0,2010
336,0,0,46,8,2,0,5,0,6,0,2009
337,0,0,46,16,0,0,6,0,9,0,2008
338,0,0,46,4,2,0,3,0,5,0,2007
339,1,3,46,12,0,0,3,0,6,0,2006
340,0,1,47,14,0,0,6,0,5,0,2015
341,0,0,47,4,0,0,5,0,6,0,2014
342,0,2,47,6,0,0,6,0,3,0,2013
343,0,0,47,8,0,0,9,0,7,0,2012
344,0,0,47,9,0,0,16,0,4,0,2011
345,0,0,47,10,0,0,9,0,12,0,2010
346,0,3,47,7,1,0,5,0,9,0,2009
347,0,2,47,12,0,0,6,0,14,0,2008
348,0,0,47,16,0,0,9,0,4,0,2007
349,0,0,47,20,0,0,6,0,10,0,2006
350,0,0,54,9,1,0,14,1,5,0,2015
351,1,1,54,11,0,0,21,0,6,0,2014
352,0,1,54,10,8,0,5,0,3,0,2013
353,1,0,54,8,0,0,10,0,3,0,2012
354,0,0,54,7,0,0,11,0,1,0,2011
355,0,0,54,9,1,0,2,0,7,0,2010
356,0,2,54,9,0,0,4,0,1,0,2009
357,0,0,54,7,0,1,10,0,3,0,2008
358,0,0,54,6,0,0,8,0,0,0,2007
359,0,0,54,4,0,0,9,0,4,0,2006
360,0,0,58,8,0,0,7,0,2,0,2015
361,0,0,58,3,0,0,1,0,0,0,2014
362,0,0,58,8,0,0,1,0,0,0,2013
363,0,0,58,5,0,0,4,0,0,0,2012
364,0,0,58,2,0,0,2,0,3,0,2011
365,0,2,58,2,0,0,0,0,4,0,2010
366,0,1,58,7,0,0,3,0,0,0,2009
367,0,0,58,6,0,0,5,0,0,0,2008
368,0,0,58,2,0,0,1,0,0,0,2007
369,0,0,58,7,0,0,5,0,0,0,2006
370,0,1,60,24,1,0,30,0,8,1,2015
371,0,0,60,26,1,0,25,0,11,0,2014
372,0,4,60,21,1,0,19,1,23,0,2013
373,0,3,60,21,1,0,24,0,24,0,2012
374,0,0,60,30,0,0,40,0,31,0,2011
375,0,1,60,31,11,0,30,1,41,0,2010
376,0,2,60,27,4,0,15,0,44,0,2009
377,0,3,60,31,0,0,33,2,47,0,2008
378,0,2,60,29,3,0,30,0,49,0,2007
379,0,3,60,26,7,0,23,0,67,0,2006
380,0,0,61,11,4,0,4,0,3,0,2015
381,0,3,61,6,0,0,6,0,0,0,2014
382,0,0,61,6,0,1,4,0,0,0,2013
383,0,0,61,4,0,0,0,0,1,0,2012
384,0,1,61,8,0,0,1,0,1,0,2011
385,0,0,61,7,2,0,5,0,2,0,2010
386,0,0,61,9,0,0,4,0,3,0,2009
387,0,0,61,9,1,0,3,0,0,0,2008
388,0,0,61,7,0,0,10,0,1,0,2007
389,0,0,61,7,0,0,4,1,0,0,2006
390,0,0,63,13,0,0,11,0,7,0,2015
391,0,2,63,14,0,0,5,0,4,0,2014
392,0,0,63,11,0,0,5,0,3,0,2013
393,0,3,63,13,0,0,12,0,5,0,2012
394,0,2,63,11,0,0,8,0,4,0,2011
395,1,0,63,13,0,0,7,0,3,0,2010
396,0,2,63,18,1,0,7,0,14,0,2009
397,0,0,63,10,3,0,16,0,7,0,2008
398,0,0,63,14,0,0,12,0,1,0,2007
399,0,0,63,16,0,0,1,0,6,0,2006
400,0,0,64,5,0,0,1,0,0,0,2015
401,0,0,64,4,1,0,6,0,1,0,2014
402,1,0,64,5,0,0,3,0,2,0,2013
403,0,0,64,8,0,0,3,0,0,0,2012
404,0,0,64,3,1,0,4,0,8,0,2011
405,1,0,64,6,0,0,1,0,3,0,2010
406,0,0,64,6,0,0,3,0,4,0,2009
407,0,0,64,6,0,0,2,0,2,0,2008
408,0,2,64,3,0,0,5,0,0,0,2007
